Lat,Lon,Calibrated.age,Calibrated.error
47.62,-59.31,1565,95
60.35,-166.22,1565,95
47.67,-68.80,1570,150
63.90,-123.34,1570,60
68.23,-158.27,1570,50
43.25,-79.75,1580,60
46.43,-63.25,1580,50
46.43,-63.25,1580,200
53.49,-167.32,1580,125
55.73,-60.33,1580,70
67.51,-133.24,1580,60
45.63,-61.63,1595,80
45.45,-100.35,1600,100
47.60,-55.82,1600,85
52.49,-125.34,1615,80
-32.30,141.50,1619,92
50.16,-101.06,1620,75
52.65,-111.33,1620,65
47.43,-84.73,1630,100
61.63,-97.74,1630,135
60.82,-115.77,1635,280
45.33,-116.75,1640,100
45.44,-100.34,1640,80
46.75,-77.75,1640,50
50.16,-101.06,1640,75
50.02,-105.00,1645,205
60.35,-64.70,1645,90
51.22,-123.65,1660,80
51.92,-122.25,1660,85
53.79,-56.83,1660,80
49.58,-94.58,1670,115
58.46,-78.09,1670,150
70.59,-117.33,1670,40
43.25,-79.75,1680,60
51.64,-4.70,1685,55
53.79,-56.83,1690,40
52.49,-125.34,1695,90
68.32,-166.70,1699,210
49.86,-99.75,1700,100
52.23,-87.89,1700,225
45.44,-100.34,1720,75
64.44,-164.89,1720,181
69.39,-134.01,1720,50
60.46,-146.20,1727,105
47.68,-54.07,1730,80
51.96,-128.11,1730,50
60.12,-64.22,1740,80
61.56,-104.56,1740,110
-33.37,151.18,1747,88
55.75,-99.25,1750,80
60.35,-166.22,1750,95
60.46,-146.20,1753,105
-7.44,144.37,1756,46
-7.44,144.37,1760,47
64.24,-113.95,1760,100
44.55,22.03,1764,38
-38.06,140.66,1770,98
50.28,-65.50,1770,110
52.08,-122.25,1770,100
62.10,-109.29,1775,60
49.56,-117.65,1780,80
49.80,-56.79,1780,90
49.87,-99.92,1780,100
68.32,-166.70,1790,70
53.54,-60.13,1800,110
61.15,-98.64,1800,95
46.10,-77.45,1820,100
46.38,-72.61,1820,105
53.83,-101.26,1820,150
45.45,-100.35,1825,120
44.93,-113.28,1830,90
47.62,-59.31,1830,105
56.55,-157.83,1830,60
68.58,-158.75,1830,170
55.95,92.40,1836,73
45.80,-116.83,1840,90
46.58,-81.75,1840,350
52.93,-55.80,1840,70
53.78,-56.43,1840,100
45.43,-100.32,1850,90
58.46,-78.09,1850,120
49.56,-117.65,1860,150
51.92,-122.25,1860,85
60.82,-115.77,1860,135
63.59,-171.82,1860,60
60.35,-166.22,1865,95
-7.34,144.17,1870,62
47.87,-53.90,1870,180
52.49,-125.34,1870,75
66.93,-136.30,1870,180
67.76,-115.37,1870,75
51.87,-128.21,1880,50
53.49,-167.32,1880,100
53.79,-56.83,1890,60
55.89,-61.08,1890,50
60.93,-69.98,1890,105
62.78,-65.47,1890,60
49.92,-94.58,1900,115
75.49,-96.10,1900,60
63.08,-168.82,1908,50
53.79,-56.35,1910,100
63.93,-152.08,1910,120
52.75,-126.50,1920,190
55.76,-99.14,1920,90
60.91,-70.05,1920,115
60.35,-166.22,1925,95
48.22,-90.20,1930,200
49.70,-100.74,1930,100
74.51,-88.55,1930,200
-32.98,150.90,1937,461
52.93,-55.80,1940,70
63.08,-168.82,1948,50
53.42,-125.42,1950,120
63.92,-152.08,1950,320
42.33,-122.08,1960,80
55.58,-115.92,1960,170
68.23,-158.27,1960,50
-32.92,151.76,1966,36
47.67,-68.80,1970,100
49.84,-57.87,1970,150
62.78,-65.47,1970,70
64.44,-164.89,1970,99
68.32,-166.70,1970,100
51.22,-123.65,1975,70
49.08,-111.58,1990,150
50.37,-105.56,1990,75
43.87,-66.13,2000,80
49.85,-109.60,2000,70
51.20,-58.41,2000,130
55.88,-64.76,2000,110
60.13,-64.22,2000,75
-25.15,148.62,2019,111
58.46,-78.09,2020,230
43.87,-66.13,2030,80
46.10,-77.45,2030,100
47.99,-66.74,2030,130
62.78,-65.47,2030,50
61.63,-97.90,2040,295
64.44,-164.89,2045,79
45.80,-116.83,2050,140
55.29,-77.75,2050,100
68.32,-166.70,2050,70
60.94,-69.98,2070,140
68.32,-166.70,2070,100
58.75,-94.25,2080,95
-17.75,145.51,2095,82
49.75,-94.58,2100,165
60.35,-166.22,2100,95
60.94,-69.98,2100,95
62.78,-65.47,2110,90
-13.10,133.80,2117,69
63.78,-171.70,2130,60
49.70,-100.74,2140,130
62.78,-65.47,2140,50
49.86,-99.75,2145,105
61.62,-105.41,2150,130
46.00,-78.30,2165,75
45.33,-64.48,2170,140
60.13,-64.22,2170,75
-17.75,145.51,2176,82
46.42,-77.75,2180,60
60.53,-150.75,2180,70
59.13,-112.43,2190,270
66.27,-161.87,2190,51
60.93,-69.98,2200,80
49.56,-117.65,2210,180
64.44,-164.89,2210,90
68.23,-158.27,2220,50
69.39,-134.01,2230,60
50.35,4.85,2232,109
-13.10,133.80,2236,52
45.80,-116.83,2240,60
47.69,-54.07,2240,210
63.78,-171.70,2240,60
69.35,-116.19,2240,70
60.51,-151.10,2245,115
71.13,-157.10,2260,300
49.20,-66.22,2280,230
63.92,-152.08,2280,170
64.44,-164.89,2284,56
49.84,-57.87,2285,100
59.13,-112.43,2290,155
75.52,-97.27,2290,120
-15.43,129.16,2300,300
46.38,-72.61,2300,600
65.76,-167.78,2306,38
66.27,-161.87,2324,133
60.53,-150.75,2330,70
63.08,-168.82,2330,60
75.46,-97.78,2330,120
52.75,-126.50,2335,120
59.48,-65.30,2350,135
63.76,-82.53,2351,120
54.25,-85.58,2360,100
62.29,-75.53,2360,130
63.92,-152.08,2365,140
47.62,-59.31,2370,85
71.52,-123.72,2370,120
42.17,-124.25,2380,90
53.58,-114.58,2380,105
62.77,-106.96,2390,110
71.52,-123.72,2400,120
73.05,-80.57,2400,55
65.78,-167.71,2402,43
42.42,-82.42,2410,85
53.42,-125.42,2415,160
-28.40,139.49,2416,327
-23.83,130.86,2440,220
45.80,-116.83,2450,120
71.15,-157.05,2460,50
58.45,-78.10,2465,150
71.52,-123.72,2470,110
52.60,-101.36,2480,120
62.77,-106.96,2480,60
63.78,-171.70,2480,50
43.73,-102.42,2490,70
47.94,-84.84,2490,250
49.76,-99.74,2490,100
51.52,-125.37,2490,50
50.74,-103.70,2495,440
45.98,-64.03,2500,120
63.78,-171.70,2500,50
62.42,-77.92,2520,80
49.42,-118.08,2530,220
51.52,-125.37,2530,50
66.97,-136.27,2530,50
68.65,-113.38,2530,50
75.52,-97.27,2530,120
-13.10,133.80,2534,104
-35.57,144.32,2536,109
51.84,-128.20,2540,50
62.77,-106.96,2545,160
52.18,7.53,2551,100
60.51,-151.10,2560,300
68.37,-66.95,2560,90
72.73,-80.23,2565,80
65.76,-167.78,2566,53
49.33,-108.30,2570,90
61.62,-105.41,2570,120
-35.24,150.24,2578,118
62.42,-77.93,2580,60
62.77,-106.96,2580,80
65.76,-167.78,2583,60
-5.91,150.12,2585,119
-5.91,150.12,2589,126
-7.26,144.14,2591,95
-5.91,150.12,2596,107
-7.26,144.14,2607,86
-7.26,144.14,2613,84
46.85,-65.83,2625,50
41.80,-103.90,2630,100
50.04,-124.77,2630,30
58.88,-95.04,2630,90
71.15,-157.05,2630,60
66.27,-161.87,2635,125
63.08,-168.82,2637,40
43.93,-64.83,2640,70
46.58,-108.50,2640,90
46.96,-65.86,2640,50
-7.26,144.14,2646,96
66.27,-161.87,2646,177
68.26,-131.17,2650,80
-17.75,145.51,2663,97
63.76,-82.53,2668,130
46.85,-65.83,2670,50
60.02,-70.03,2670,90
63.08,-168.82,2670,60
55.99,-160.58,2680,250
46.75,-71.42,2700,80
57.49,-98.56,2700,600
46.75,-71.42,2710,80
68.55,-113.10,2710,70
50.05,-124.75,2730,40
54.43,-69.99,2750,120
60.53,-150.75,2755,160
54.63,-94.23,2760,240
67.59,-139.62,2770,80
49.80,-56.79,2780,100
50.43,7.47,2783,32
62.29,-75.53,2790,130
63.76,-82.53,2792,128
57.75,-112.25,2795,85
62.61,-103.51,2800,110
54.12,-66.52,2810,80
67.76,-115.35,2810,90
73.05,-80.57,2815,80
-7.34,144.17,2820,44
72.03,-80.46,2820,130
-23.12,118.63,2822,38
50.75,-113.75,2825,95
46.08,-114.00,2830,90
54.63,-94.23,2830,210
62.29,-75.53,2830,130
43.67,-118.59,2840,220
-23.83,130.86,2860,170
-32.98,150.90,2863,497
49.42,-118.08,2870,100
59.31,-69.68,2870,370
58.48,-78.09,2875,400
48.40,-108.03,2880,70
69.40,-106.25,2880,105
-15.43,129.16,2900,400
46.75,-71.42,2900,70
49.70,-100.74,2910,260
69.40,-106.26,2910,105
46.20,-79.81,2920,150
49.89,-97.11,2930,80
49.89,-97.11,2930,90
46.30,-106.67,2940,90
49.70,-100.74,2940,210
62.77,-106.96,2940,210
-32.98,150.90,2950,298
46.85,-65.83,2950,75
48.65,-79.32,2950,490
55.85,-60.78,2955,85
55.99,-160.58,2960,320
46.96,-65.86,2980,80
69.40,-106.25,2980,150
62.77,-137.42,2990,130
69.40,-106.26,2990,125
49.72,-98.14,2995,125
42.27,-124.37,3000,90
46.30,-106.98,3000,110
46.30,-106.67,3010,60
60.57,-147.57,3035,55
-23.83,130.86,3040,160
48.40,-108.03,3050,90
50.74,-103.70,3060,105
58.75,-94.25,3060,100
42.92,-79.42,3070,120
49.89,-97.11,3070,80
49.98,-97.05,3075,105
45.37,-105.37,3089,207
49.75,-118.08,3090,200
53.55,-60.15,3090,180
49.88,-100.09,3095,160
36.12,-5.34,3100,423
49.60,-126.62,3100,120
54.06,-72.87,3100,60
54.45,-69.94,3100,140
54.13,-165.63,3105,55
-10.12,142.15,3115,79
54.45,-69.94,3115,140
42.92,-79.92,3120,80
47.96,-84.85,3120,430
52.60,-101.36,3130,110
49.42,-118.08,3150,170
79.92,-82.44,3150,60
-27.82,152.15,3156,126
63.66,-104.47,3160,95
-33.19,151.13,3169,121
43.53,-119.48,3170,70
57.49,-98.56,3170,70
49.52,-109.85,3180,80
54.06,-72.87,3180,60
69.39,-106.28,3180,120
53.83,-101.26,3190,60
-15.43,129.16,3200,400
49.66,-54.79,3200,90
67.59,-139.62,3210,100
49.42,-118.08,3215,120
53.58,-114.58,3220,75
67.76,-115.35,3220,120
-35.12,150.21,3227,127
48.92,-107.32,3250,70
55.31,-77.72,3250,100
70.15,-116.72,3250,80
42.92,-118.75,3255,65
81.59,-73.30,3260,70
57.03,-153.61,3263,61
-2.96,151.39,3266,234
45.85,-64.30,3270,60
54.06,-72.87,3270,70
54.06,-72.87,3270,80
52.75,-126.50,3275,405
-13.10,133.80,3285,47
50.08,-96.92,3300,295
54.06,-72.87,3300,60
55.31,-77.72,3300,110
66.41,-120.19,3300,160
45.75,-106.67,3310,90
47.62,-109.62,3320,120
49.60,-126.62,3320,90
45.85,-64.30,3330,70
67.74,-115.37,3330,90
72.83,-95.18,3330,130
57.49,-98.56,3340,65
68.72,-113.44,3340,50
55.31,-77.72,3375,90
57.03,-153.61,3375,255
61.24,-71.54,3375,90
48.78,-86.43,3390,140
62.66,-138.85,3390,60
68.26,-131.17,3390,225
49.39,-105.63,3400,90
71.13,-157.10,3400,520
48.40,-108.03,3410,40
48.10,-89.36,3420,80
49.92,-111.47,3420,130
51.97,-112.22,3420,100
73.50,-120.31,3420,150
55.26,-127.60,3430,200
55.35,-121.40,3430,110
69.27,-115.47,3430,70
68.20,-151.60,3440,253
73.50,-120.31,3440,160
79.12,-76.14,3440,50
-33.82,151.01,3454,51
50.90,-97.83,3460,100
68.28,-151.47,3460,40
66.92,-142.75,3470,90
68.24,-131.02,3470,430
68.69,-113.38,3470,40
68.73,-113.46,3470,40
41.80,-103.90,3480,150
42.58,-82.42,3480,120
48.22,-90.03,3480,70
50.46,-105.95,3480,200
50.12,-96.03,3485,175
58.92,-114.42,3490,100
-38.00,145.19,3500,400
73.56,-97.21,3520,90
68.20,-151.60,3527,191
71.15,-157.05,3530,40
-17.75,145.51,3531,80
-25.15,148.62,3533,85
62.61,-103.51,3550,125
49.66,-54.79,3560,140
72.83,-95.18,3560,80
48.40,-108.03,3570,40
76.50,-90.57,3580,150
54.15,-70.00,3585,95
47.67,-107.50,3590,80
49.60,-126.62,3590,190
57.49,-98.56,3590,90
76.29,-94.63,3590,65
62.65,-69.65,3597,78
45.32,-73.97,3600,140
57.25,-98.58,3600,60
57.58,-112.42,3610,120
79.11,-76.12,3610,60
68.20,-151.60,3615,217
46.02,-73.08,3620,120
49.25,-53.49,3620,120
56.64,-64.79,3620,65
62.61,-103.51,3620,60
62.77,-106.96,3620,125
62.63,-136.18,3630,140
73.00,-80.64,3635,140
46.75,-71.25,3660,100
47.72,-69.67,3670,90
50.42,-95.75,3680,50
44.03,-103.77,3690,70
48.81,-53.82,3690,100
-38.00,145.19,3700,500
50.92,-95.64,3700,100
55.75,-98.92,3700,60
69.27,-115.40,3700,50
75.70,-84.50,3700,70
45.85,-64.30,3710,50
64.49,-161.46,3717,39
48.92,-107.32,3720,80
49.66,-54.79,3720,130
57.41,-135.07,3720,65
50.92,-95.64,3730,160
49.20,-66.22,3750,180
45.26,-74.18,3760,140
81.40,-76.75,3760,130
50.04,-124.77,3770,40
75.81,-83.71,3770,180
49.52,-109.85,3780,50
-38.06,140.66,3789,121
79.11,-76.12,3790,360
81.53,-73.70,3790,95
55.31,-77.72,3800,70
81.40,-76.75,3800,80
53.55,-113.38,3810,80
81.40,-76.75,3810,130
45.26,-74.18,3830,60
81.59,-73.30,3830,95
62.74,-69.66,3834,77
48.81,-53.82,3840,100
79.11,-76.12,3840,70
52.75,-126.50,3850,140
50.87,-95.53,3870,190
81.74,-69.65,3870,100
49.66,-110.07,3880,165
70.24,-127.57,3880,80
-22.66,119.43,3892,107
-38.00,145.19,3900,400
81.27,-71.60,3900,80
54.25,-85.58,3920,180
55.75,-98.92,3920,60
50.52,-112.40,3925,160
57.10,-153.18,3929,65
43.43,-103.80,3930,70
48.92,-107.32,3930,110
69.28,-115.67,3930,80
75.70,-84.56,3930,95
81.40,-76.75,3930,130
43.08,-81.75,3950,130
52.60,-101.36,3950,130
69.35,-116.12,3950,70
70.24,-127.57,3950,80
76.29,-94.63,3950,65
45.26,-74.18,3960,70
-15.44,129.18,3962,80
51.89,-128.10,3970,50
60.54,-147.61,3970,150
64.49,-161.46,3970,600
65.35,-143.12,3970,40
70.27,-115.20,3973,42
70.28,-115.08,3979,47
53.42,-123.08,3980,100
70.24,-127.57,3980,80
43.08,-81.75,4000,90
45.32,-73.97,4000,240
48.92,-125.48,4000,140
48.93,-125.55,4000,90
48.93,-125.55,4000,170
59.75,-151.04,4005,100
45.68,-67.73,4010,100
50.25,-95.58,4010,70
69.36,-81.80,4020,40
81.59,-73.30,4020,90
48.65,-79.31,4030,950
49.87,-97.35,4030,120
43.08,-81.75,4040,100
55.63,-60.37,4040,80
62.77,-106.96,4040,130
64.49,-161.46,4040,280
69.39,-81.80,4040,130
75.70,-84.46,4040,70
55.75,-98.92,4050,50
81.59,-73.30,4055,80
44.67,-112.84,4060,80
45.32,-73.97,4060,130
65.35,-143.12,4060,40
65.13,-123.50,4065,220
69.39,-81.80,4066,133
51.39,39.03,4077,66
-5.91,150.12,4079,137
49.60,-126.62,4080,80
61.17,-149.83,4080,150
69.39,-81.80,4080,130
54.60,-128.42,4100,310
61.27,-138.08,4100,40
70.24,-127.57,4100,90
45.32,-73.97,4110,100
49.52,-109.85,4110,60
75.70,-84.46,4110,90
69.39,-81.80,4118,168
48.53,-124.37,4120,130
76.29,-94.63,4120,120
49.71,-113.65,4130,100
54.61,-128.42,4130,90
70.60,-113.00,4133,42
49.86,-99.75,4135,155
46.00,-78.30,4150,135
70.58,-112.92,4154,45
61.17,-149.83,4155,160
63.73,-68.54,4160,135
75.69,-84.57,4160,180
70.57,-112.87,4163,45
58.22,-62.62,4165,80
41.80,-103.90,4170,250
49.20,-66.22,4170,150
69.28,-115.69,4172,58
70.67,-113.66,4197,41
50.65,-119.95,4200,90
81.11,-69.84,4200,70
58.22,-62.62,4210,110
70.59,-112.99,4216,51
58.22,-62.62,4220,95
