Latitude,Longitude,T_anomaly,P_anomaly,Veg_ID,Dist2Riv,Scale_Dist2Riv,Fig_code
-1.9062,0.5,-1.9062,0.1246,15,714.33868,0.263612951727788,4.26361295172779
-1.8905,0.5,-1.8905,0.1501,15,792.58308,0.29249416219798,4.29249416219798
-1.9206,0.5,-1.9206,0.1454,20,865.83466,0.319532446078412,6.31953244607841
-2.0093,0.5,-2.0093,0.1316,10,946.46774,0.34929535504493,6.34929535504493
-2.0093,0.5,-2.0093,0.1316,10,1032.7548,0.381145234917663,6.38114523491766
-1.3469,0.5,-1.3469,-0.0079,10,1123.3936,0.414601408900282,7.41460140890028
-2.2208,1.5,-2.2208,0.1205,15,186.2313,0.0686804020163512,4.06868040201635
-2.1371,1.5,-2.1371,0.1049,15,187.18716,0.0690332246316443,4.06903322463164
-1.8893,1.5,-1.8893,0.06,15,228.32553,0.0842180291974742,4.08421802919747
-1.8893,1.5,-1.8893,0.06,15,306.18291,0.11295638463809,4.11295638463809
-1.965,1.5,-1.965,0.0956,15,400.10618,0.147624906972195,4.14762490697219
-1.9903,1.5,-1.9903,0.1069,15,451.20905,0.166487761618672,4.16648776161867
-1.9807,1.5,-1.9807,0.0919,15,473.955,0.174883641314784,4.17488364131478
-1.9533,1.5,-1.9533,0.0483,15,519.44666,0.19167531211932,4.19167531211932
-1.9533,1.5,-1.9533,0.0483,15,581.48171,0.214573402405384,4.21457340240538
-1.9062,1.5,-1.9062,0.1246,15,656.19481,0.242151155777899,4.2421511557779
-1.8905,1.5,-1.8905,0.1501,15,729.64919,0.269264296254885,4.26926429625489
-1.9206,1.5,-1.9206,0.1454,20,807.65333,0.298056823066852,6.29805682306685
-2.0093,1.5,-2.0093,0.1316,10,892.68572,0.329443584961294,6.32944358496129
-2.0093,1.5,-2.0093,0.1316,10,982.92395,0.362751902401105,6.36275190240111
-1.3469,1.5,-1.3469,-0.0079,10,1077.0603,0.397499075837743,7.39749907583774
-2.6463,2.5,-2.6463,0.081,20,123.22826,0.0454250117455853,6.04542501174559
-1.7824,2.5,-1.7824,0.1228,20,119.06788,0.0438893515524472,6.04388935155245
-1.5276,2.5,-1.5276,0.0773,15,174.95906,0.0645196450048524,4.06451964500485
-1.5276,2.5,-1.5276,0.0773,15,267.89923,0.0988252900210504,4.09882529002105
-1.5968,2.5,-1.5968,0.065,15,371.01904,0.136888396598086,4.13688839659809
-1.6201,2.5,-1.6201,0.0615,15,376.37814,0.138866522764697,4.1388665227647
-1.5972,2.5,-1.5972,0.0893,20,401.90654,0.148289447515443,6.14828944751544
-1.954,2.5,-1.954,0.11,15,452.81976,0.167082299432451,4.16708229943245
-1.954,2.5,-1.954,0.11,15,521.21218,0.19232699268316,4.19232699268316
-1.6415,2.5,-1.6415,0.0567,20,595.98456,0.219926627214669,6.21992662721467
-1.5386,2.5,-1.5386,0.039,15,670.12581,0.247293301964211,4.24729330196421
-1.552,2.5,-1.552,0.0339,20,753.4078,0.278033964319171,6.27803396431917
-1.5936,2.5,-1.5936,0.0184,10,843.12615,0.311150386061664,6.31115038606166
-1.5936,2.5,-1.5936,0.0184,10,937.43463,0.34596109532653,6.34596109532653
-1.3288,2.5,-1.3288,-0.0244,10,1035.0793,0.382003243589695,7.3820032435897
-2.1147,3.5,-2.1147,0.1202,15,70.406221,0.0259275854016722,4.02592758540167
-2.0204,3.5,-2.0204,0.1145,15,51.612168,0.0189904116195109,4.01899041161951
-1.7399,3.5,-1.7399,0.097,15,137.27958,0.050611569892929,4.05061156989293
-1.7399,3.5,-1.7399,0.097,15,244.44977,0.0901697339726643,4.09016973397266
-1.7306,3.5,-1.7306,0.0417,15,304.48677,0.112330313298455,4.11233031329845
-1.7276,3.5,-1.7276,0.0227,15,301.58327,0.111258586828571,4.11125858682857
-1.6837,3.5,-1.6837,0.0687,20,331.17813,0.122182504457128,6.12218250445713
-1.5524,3.5,-1.5524,0.2055,15,389.13206,0.143574190634091,4.14357419063409
-1.5524,3.5,-1.5524,0.2055,15,465.78129,0.171866599343317,4.17186659934332
-1.1844,3.5,-1.1844,-0.0044,15,534.36096,0.197180409446612,5.19718040944661
-1.0629,3.5,-1.0629,-0.0739,10,615.01422,0.226950767161249,7.22695076716125
-1.3316,3.5,-1.3316,-0.0332,10,704.01736,0.259803193901666,7.25980319390167
-2.1147,4.5,-2.1147,0.1202,15,63.241937,0.0232831380792794,4.02328313807928
-2.0204,4.5,-2.0204,0.1145,15,20.711992,0.00758468179575391,4.00758468179575
-1.7399,4.5,-1.7399,0.097,15,128.83344,0.0474939698218605,4.04749396982186
-1.7399,4.5,-1.7399,0.097,15,228.30351,0.0842099012770792,4.08420990127708
-1.7306,4.5,-1.7306,0.0417,15,231.59827,0.0854260478256983,4.0854260478257
-1.7276,4.5,-1.7276,0.0227,15,226.87868,0.0836839746278335,4.08368397462783
